,index,area
0,12.2019,71004.73464281672
1,12.2019,129.8049502611275
2,1.2019,69057.51416731936
3,1.2019,129.80859051601118
4,1.2019,129.80728216129774
5,1.2019,129.80643980829873
6,6.2019,73860.55175300522
7,2.2019,68019.09284074129
8,3.2019,70745.11911476242
9,10.2019,69317.14599421539
10,11.2019,67240.28545664571
11,8.2019,71653.68093346753
12,9.2019,649.0467601930892
13,9.2019,778.8572130714938
14,9.2019,12721.045620916286
15,5.2019,72432.609466046
16,4.2019,69966.20534003871
17,12.2020.shp,649.0487747018246
18,12.2020.shp,778.831719076959
19,12.2020.shp,1038.4769886504796
20,12.2020.shp,1168.2806550790453
21,12.2020.shp,2076.882064063131
22,12.2020.shp,6230.821980938117
23,11.2020.shp,2076.9304500022336
24,11.2020.shp,1427.884392336562
25,11.2020.shp,1168.2817698215345
26,11.2020.shp,778.8453253493974
27,11.2020.shp,649.0461218090858
28,11.2020.shp,519.2288324376705
29,11.2020.shp,389.42746153622284
30,11.2020.shp,389.42043750231613
31,11.2020.shp,259.6173904411348
32,11.2020.shp,259.6120907474179
33,11.2020.shp,129.80970372342557
34,11.2020.shp,129.8095178765209
35,2.2020.shp,69187.34874061037
36,12.2021.shp,63995.12730278203
37,7.2021.shp,22456.92863107525
38,9.2021.shp,45432.88015023024
39,8.2021.shp,20250.194055163418
40,11.2021.shp,1817.3285848727107
41,11.2021.shp,1038.4765418826792
42,11.2021.shp,908.6535875172167
43,11.2021.shp,519.2360846907159
44,11.2021.shp,519.2328883086386
45,11.2021.shp,519.2254851235278
46,11.2021.shp,389.42884323036105
47,11.2021.shp,259.61752901937905
48,11.2021.shp,259.6174093637528
49,11.2021.shp,259.6172518147299
50,11.2021.shp,259.61608672102267
51,11.2021.shp,259.61359267264874
52,11.2021.shp,259.61098531160127
53,11.2021.shp,129.80945179109312
54,11.2021.shp,129.80942346646762
55,11.2021.shp,129.80926601222833
56,11.2021.shp,129.80922348509336
57,11.2021.shp,129.80877630491744
58,11.2021.shp,129.8086424243456
59,11.2021.shp,129.80839997610425
60,10.2021.shp,69317.15607617819
61,3.2021.shp,11942.41070861895
62,2.2021.shp,2076.9393765681853
63,2.2021.shp,1817.324563175909
64,2.2021.shp,1557.7150150222153
65,4.2021.shp,21548.26001544938
66,5.2021.shp,8827.021215113915
